('2002-12', 20.916666666666668)
('2003-12', 52.11666666666668)
('2005-05', 55.38333333333335)
('2008-08', 138.51666666666657)
('2010-07', 92.39999999999999)
('2013-02', 25.52500000000002)
('2003-01', 17.716666666666672)
('2006-08', 148.08333333333334)
('2006-12', 29.733333333333334)
('2014-02', 43.71250000000002)
('2015-02', 24.824999999999996)
('2015-10', 2.2625)
('2013-11', 46.37500000000002)
('2014-01', 62.575000000000074)
('2000-01', 18.616666666666674)
('2002-02', 47.58333333333337)
('2004-01', 26.400000000000016)
('2010-04', 23.78333333333333)
('2011-12', 42.133333333333375)
('2012-08', 68.81666666666666)
('2015-09', 101.29999999999997)
('2003-04', 51.416666666666664)
('2004-09', 37.20000000000001)
('2015-12', 28.925000000000004)
('2010-01', 35.98333333333334)
('2001-11', 26.38333333333334)
('2016-02', 21.5625)
('2000-07', 135.8666666666666)
('2003-05', 68.45000000000002)
('2005-03', 23.46666666666667)
('2005-11', 32.600000000000016)
('2008-11', 46.75000000000003)
('2002-05', 72.13333333333334)
('2011-02', 24.516666666666676)
('2009-03', 34.48333333333334)
('2002-11', 53.68333333333339)
('2001-12', 35.183333333333344)
('2002-07', 80.51666666666665)
('2001-03', 30.26666666666667)
('2006-01', 17.683333333333334)
('2009-10', 56.83333333333339)
('2000-10', 110.29999999999997)
('2001-01', 36.41666666666668)
('2001-08', 69.96666666666668)
('2007-08', 54.166666666666664)
('2008-01', 44.9666666666667)
('2008-06', 42.933333333333344)
('2012-01', 43.55000000000003)
('2005-12', 56.63333333333339)
('2006-07', 28.98333333333333)
('2015-06', 78.66250000000002)
('2007-11', 50.68333333333339)
('2010-06', 48.65000000000001)
('2011-04', 14.916666666666666)
('2012-03', 8.549999999999999)
('2003-11', 54.45000000000001)
('2015-07', 119.09999999999995)
('2000-08', 54.85000000000002)
('2001-09', 110.63333333333327)
('2008-07', 85.2)
('2002-04', 29.916666666666668)
('2004-02', 27.350000000000012)
('2005-02', 33.500000000000036)
('2006-10', 118.16666666666663)
('2003-08', 55.28333333333334)
('2002-09', 16.066666666666666)
('2006-06', 31.133333333333344)
('2009-06', 49.76666666666667)
('2003-09', 8.883333333333333)
('2000-11', 108.1166666666666)
('2002-01', 55.00000000000001)
('2005-04', 11.649999999999999)
('2012-07', 59.066666666666684)
('2013-04', 38.28750000000002)
('2013-10', 53.875)
('2013-01', 21.525000000000006)
('2013-03', 7.387499999999998)
('2014-05', 58.00000000000001)
('2000-06', 62.01666666666667)
('2003-07', 113.46666666666665)
('2005-01', 18.05)
('2005-09', 13.949999999999998)
('2008-02', 28.250000000000004)
('2010-10', 52.53333333333336)
('2011-06', 88.35000000000001)
('2013-06', 61.325)
('2013-09', 26.18750000000001)
('2014-08', 90.81249999999997)
('2015-01', 59.11250000000004)
('2004-03', 28.483333333333338)
('2007-01', 68.63333333333337)
('2007-12', 54.70000000000002)
('2008-12', 43.483333333333384)
('2000-02', 24.05)
('2003-06', 66.66666666666667)
('2004-06', 56.85000000000002)
('2006-05', 52.33333333333335)
('2007-03', 40.51666666666668)
('2007-07', 95.96666666666665)
('2014-04', 31.762500000000003)
('2001-07', 40.28333333333334)
('2001-10', 60.483333333333356)
('2006-09', 19.266666666666666)
('2008-03', 42.200000000000024)
('2010-12', 37.18333333333339)
('2014-03', 36.5625)
('2014-06', 75.1375)
('2016-07', 0.0)
('2007-06', 108.94999999999999)
('2001-04', 46.066666666666684)
('2004-11', 54.133333333333354)
('2006-03', 27.866666666666664)
('2011-01', 35.13333333333335)
('2012-02', 28.66666666666667)
('2014-07', 22.9875)
('2002-06', 98.7833333333333)
('2009-01', 15.883333333333331)
('2010-02', 52.75000000000006)
('2011-08', 86.26666666666667)
('2000-09', 27.51666666666667)
('2005-08', 76.96666666666668)
('2008-09', 47.366666666666696)
('2011-05', 37.85)
('2012-06', 132.19999999999996)
('2012-10', 65.58333333333333)
('2013-07', 54.5625)
('2013-12', 42.26250000000003)
('2014-09', 48.45000000000002)
('2006-04', 44.36666666666668)
('2007-02', 33.066666666666684)
('2008-04', 20.25)
('2010-05', 67.1666666666667)
('2016-04', 26.900000000000006)
('2008-05', 23.133333333333336)
('2012-09', 72.75)
('2004-10', 78.18333333333334)
('2012-05', 22.96666666666667)
('2012-12', 66.9333333333334)
('2003-02', 9.116666666666665)
('2005-10', 38.05000000000001)
('2000-05', 25.316666666666677)
('2009-05', 54.16666666666668)
('2014-12', 35.46250000000001)
('2015-04', 15.337499999999999)
('2009-12', 53.450000000000045)
('2009-08', 61.566666666666684)
('2016-05', 29.250000000000004)
('2014-10', 72.13749999999999)
('2002-10', 60.50000000000002)
('2013-08', 54.075)
('2007-10', 28.116666666666674)
('2005-07', 104.34999999999997)
('2002-08', 8.25)
('2004-05', 39.70000000000002)
('2010-03', 23.88333333333334)
('2010-11', 93.54999999999994)
('2011-03', 19.833333333333336)
('2011-10', 43.75000000000001)
('2011-11', 13.466666666666667)
('2015-05', 93.225)
('2000-03', 21.683333333333337)
('2001-02', 36.76666666666669)
('2006-11', 71.71666666666668)
('2007-04', 21.249999999999996)
('2011-07', 94.91666666666664)
('2014-11', 52.425000000000054)
('2015-08', 26.987499999999997)
('2004-08', 75.48333333333333)
('2005-06', 67.96666666666665)
