Row(station=147270, year=1990, temp=-35.0)
Row(station=166870, year=1990, temp=-35.0)
Row(station=192830, year=1952, temp=-35.5)
Row(station=179950, year=1974, temp=-35.6)
Row(station=166870, year=1974, temp=-35.6)
Row(station=113410, year=1954, temp=-36.0)
Row(station=179960, year=1992, temp=-36.1)
Row(station=157860, year=1975, temp=-37.0)
Row(station=167860, year=1972, temp=-37.5)
Row(station=182910, year=1995, temp=-37.6)
Row(station=169860, year=2000, temp=-37.6)
Row(station=159970, year=1957, temp=-37.8)
Row(station=191900, year=1983, temp=-38.2)
Row(station=166870, year=1989, temp=-38.2)
Row(station=183760, year=1953, temp=-38.4)
Row(station=179960, year=2009, temp=-38.5)
Row(station=191900, year=1993, temp=-39.0)
Row(station=191900, year=1984, temp=-39.2)
Row(station=123480, year=1984, temp=-39.2)
Row(station=179960, year=2008, temp=-39.3)
Row(station=166870, year=1973, temp=-39.3)
Row(station=179960, year=1991, temp=-39.3)
Row(station=155790, year=2005, temp=-39.4)
Row(station=181900, year=1961, temp=-39.5)
Row(station=166810, year=1964, temp=-39.5)
Row(station=179950, year=1970, temp=-39.6)
Row(station=166940, year=2004, temp=-39.7)
Row(station=170790, year=1988, temp=-39.9)
Row(station=160790, year=1960, temp=-40.0)
Row(station=155910, year=1960, temp=-40.0)
Row(station=167710, year=1960, temp=-40.0)
Row(station=179960, year=1997, temp=-40.2)
Row(station=179960, year=1994, temp=-40.5)
Row(station=169860, year=2006, temp=-40.6)
Row(station=179960, year=2013, temp=-40.7)
Row(station=169860, year=2007, temp=-40.7)
Row(station=181900, year=1963, temp=-41.0)
Row(station=160790, year=1955, temp=-41.2)
Row(station=181900, year=1969, temp=-41.5)
Row(station=179960, year=2003, temp=-41.5)
Row(station=191910, year=2010, temp=-41.7)
Row(station=155790, year=1996, temp=-41.7)
Row(station=155910, year=1951, temp=-42.0)
Row(station=179960, year=2011, temp=-42.0)
Row(station=179950, year=1968, temp=-42.0)
Row(station=155910, year=1950, temp=-42.0)
Row(station=181900, year=1962, temp=-42.0)
Row(station=169860, year=2002, temp=-42.2)
Row(station=113410, year=1982, temp=-42.2)
Row(station=192830, year=1976, temp=-42.2)
Row(station=179950, year=1977, temp=-42.5)
Row(station=192840, year=2014, temp=-42.5)
Row(station=191910, year=2012, temp=-42.7)
Row(station=169860, year=1998, temp=-42.7)
Row(station=159970, year=1958, temp=-43.0)
Row(station=166870, year=1985, temp=-43.4)
Row(station=159970, year=1985, temp=-43.4)
Row(station=159970, year=1959, temp=-43.6)
Row(station=189780, year=1965, temp=-44.0)
Row(station=112530, year=2001, temp=-44.0)
Row(station=112170, year=1979, temp=-44.0)
Row(station=166870, year=1981, temp=-44.0)
Row(station=167860, year=1986, temp=-44.2)
Row(station=166870, year=1971, temp=-44.3)
Row(station=160790, year=1956, temp=-45.0)
Row(station=191900, year=1980, temp=-45.0)
Row(station=166870, year=1967, temp=-45.4)
Row(station=123480, year=1987, temp=-47.3)
Row(station=155940, year=1978, temp=-47.7)
Row(station=192830, year=1999, temp=-49.0)
Row(station=179950, year=1966, temp=-49.4)
